,place_id,location,dataset
52915,road_88,"{'type': 'LineString', 'coordinates': [[-9.154489, 38.7236], [-9.15551, 38.722717], [-9.156035, 38.72227]]}",waze
56463,road_89,"{'type': 'LineString', 'coordinates': [[-9.155116, 38.727811], [-9.15666, 38.729535]]}",waze
57727,road_90,"{'type': 'LineString', 'coordinates': [[-9.143608, 38.729178], [-9.142961, 38.728437], [-9.142259, 38.727683]]}",waze
60564,road_91,"{'type': 'LineString', 'coordinates': [[-9.13741, 38.734714], [-9.137667, 38.734824], [-9.137735, 38.734834], [-9.139031, 38.734664], [-9.139218, 38.734691], [-9.139697, 38.734887], [-9.140006, 38.735017], [-9.140427, 38.735211]]}",waze
65132,road_92,"{'type': 'LineString', 'coordinates': [[-9.149342, 38.726602], [-9.149458, 38.726514], [-9.149586, 38.726325], [-9.149714, 38.726226]]}",waze
66148,road_93,"{'type': 'LineString', 'coordinates': [[-9.139395, 38.727543], [-9.138006, 38.727487], [-9.137868, 38.727462], [-9.137606, 38.727385], [-9.137297, 38.727212]]}",waze
72779,road_94,"{'type': 'LineString', 'coordinates': [[-9.142011, 38.724141], [-9.142339, 38.724102], [-9.142499, 38.724386], [-9.142784, 38.724725], [-9.142816, 38.724751], [-9.142867, 38.724763], [-9.142952, 38.72475], [-9.14355, 38.724412]]}",waze
82642,road_95,"{'type': 'LineString', 'coordinates': [[-9.160659, 38.721703], [-9.159605, 38.721828], [-9.159549, 38.721599], [-9.159102, 38.721652]]}",waze
83283,road_96,"{'type': 'LineString', 'coordinates': [[-9.161406, 38.722094], [-9.161268, 38.722249], [-9.161212, 38.722422], [-9.161118, 38.723095], [-9.161034, 38.723392], [-9.160903, 38.723599], [-9.160833, 38.723744], [-9.160382, 38.724209], [-9.160194, 38.724397]]}",waze
85952,road_97,"{'type': 'LineString', 'coordinates': [[-9.14451, 38.725501], [-9.143901, 38.725978], [-9.143269, 38.726458], [-9.142658, 38.726938]]}",waze
99380,road_98,"{'type': 'LineString', 'coordinates': [[-9.148928, 38.719777], [-9.14794, 38.719866], [-9.147267, 38.719873], [-9.146925, 38.719853], [-9.146707, 38.719823], [-9.145601, 38.719461], [-9.145473, 38.719507]]}",waze
